"Home.Postal.Code","Reference.Code","Student.Number","Sex","Module.Language","Module.Duration","Module.City","module.lat","module.long","Module.Country","Home.Region","city","state","latitude","longitude"
"20815","WWGZ4471","2015-001-502293","Female","Chinese","Summer","Hangzhou","30.2741","120.1551","China","Maryland","Chevy Chase","MD",38.97986,-77.08079
"20817","GQNP6156","2015-001-502983","Female","Chinese","Summer","Hangzhou","30.2741","120.1551","China","Maryland","Bethesda","MD",38.996842,-77.13519
"20827","ZNJU8819","2015-001-503227","Female","Chinese","Summer","Shanghai","31.2304","121.4737","China","Maryland","Bethesda","MD",39.143979,-77.207617
"20838","NEGS4698","2015-001-500999","Female","Korean","Year","Seoul","37.5665","126.978","South Korea","Maryland","Barnesville","MD",39.221975,-77.37781
"20854","NGYB4763","2015-001-502779","Male","Chinese","Summer","Hangzhou","30.2741","120.1551","China","Maryland","Potomac","MD",39.035028,-77.19995
"20912","DCBP4428","2015-001-503295","Female","Turkish","Summer","Ankara","39.9334","32.8597","Turkey","Maryland","Takoma Park","MD",38.98236,-77.00044
"20912","EBKQ5293","2015-001-502277","Male","Russian","Summer","Chisinau","47.0105","28.8638","Moldova","Maryland","Takoma Park","MD",38.98236,-77.00044
"21042","JXSW2478","2015-001-501669","Female","Chinese","Summer","Jiaxing","30.7539","120.7585","China","Maryland","Ellicott City","MD",39.276305,-76.86082
"21042","BRJT2794","2015-001-501782","Male","Arabic","Summer","Rabat","33.9716","6.8498","Morocco","Maryland","Ellicott City","MD",39.276305,-76.86082
"21046","WRDY4287","2015-001-503680","Male","Arabic","Summer","Rabat","33.9716","6.8498","Morocco","Maryland","Columbia","MD",39.175004,-76.85319
"21048","RFGC4736","2015-001-501309","Female","Arabic","Summer","Rabat","33.9716","6.8498","Morocco","Maryland","Finksburg","MD",39.506853,-76.90953
"21209","VMSJ7283","2015-001-501543","Female","Arabic","Summer","Rabat","33.9716","6.8498","Morocco","Maryland","Baltimore","MD",39.368974,-76.66904
"21237","PSKY1894","2015-001-501667","Female","Russian","Year","Chisinau","47.0105","28.8638","Moldova","Maryland","Rosedale","MD",39.33224,-76.50365
"22025","YVMP4959","2015-001-501845","Female","Russian","Summer","Chisinau","47.0105","28.8638","Moldova","Virginia","Dumfries","VA",38.6,-77.34
"22030","CMPU2359","2015-001-501708","Female","Arabic","Summer","Rabat","33.9716","6.8498","Morocco","Virginia","Fairfax","VA",38.846212,-77.32787
"22043","XJKK1338","2015-001-503459","Female","Russian","Summer","Moscow","55.7558","37.6173","Russia","Virginia","Falls Church","VA",38.901311,-77.19777
"22044","RFNG4334","2015-001-500929","Male","Korean","Year","Seoul","37.5665","126.978","South Korea","Virginia","Falls Church","VA",38.859645,-77.15328
"22044","STSW9137","2015-001-501066","Male","Chinese","Summer","Hangzhou","30.2741","120.1551","China","Virginia","Falls Church","VA",38.859645,-77.15328
"22101","UNMT4841","2015-001-503520","Female","Turkish","Summer","Bursa","40.1885","29.061","Turkey","Virginia","McLean","VA",38.93276,-77.1677
"22102","NBXX8596","2015-001-500571","Female","Arabic","Summer","Marrakesh","31.6295","7.9811","Morocco","Virginia","McLean","VA",38.938664,-77.22196
"22152","BMEC1478","2015-001-500595","Male","Russian","Year","Chisinau","47.0105","28.8638","Moldova","Virginia","Springfield","VA",38.775716,-77.23131
"22180","NBVB9732","2015-001-502287","Male","Arabic","Summer","Amman","31.9454","35.9284","Jordan","Virginia","Vienna","VA",38.894711,-77.25337
"22192","KUCC1238","2015-001-501619","Male","Russian","Summer","Narva","59.3797","28.1791","Estonia","Virginia","Woodbridge","VA",38.678451,-77.30657
"22201","UPMC1832","2015-001-502165","Female","Chinese","Summer","Hangzhou","30.2741","120.1551","China","Virginia","Arlington","VA",38.885337,-77.09512
"22201","VQMG5247","2015-001-501600","Female","Arabic","Summer","Rabat","33.9716","6.8498","Morocco","Virginia","Arlington","VA",38.885337,-77.09512
"22205","CVMF8762","2015-001-501385","Male","Chinese","Summer","Shanghai","31.2304","121.4737","China","Virginia","Arlington","VA",38.88275,-77.13999
"22207","BQZT9898","2015-001-503030","Male","Chinese","Summer","Nanjing","32.0603","118.7969","China","Virginia","Arlington","VA",38.903697,-77.12749
"22207","MSUV9579","2015-001-501595","Female","Chinese","Summer","Xiamen","24.4798","118.0894","China","Virginia","Arlington","VA",38.903697,-77.12749
"22207","QNKG3655","2015-001-502980","Female","Turkish","Summer","Ankara","39.9334","32.8597","Turkey","Virginia","Arlington","VA",38.903697,-77.12749
"22903","ZKMQ5678","2015-001-500936","Female","Korean","Year","Seoul","37.5665","126.978","South Korea","Virginia","Charlottesville","VA",38.026342,-78.5348
"23113","WTXM9273","2015-001-501719","Female","Arabic","Summer","Rabat","33.9716","6.8498","Morocco","Virginia","Midlothian","VA",37.51338,-77.64165
"23116","UQXW8991","2015-001-501206","Female","Arabic","Summer","Marrakesh","31.6295","7.9811","Morocco","Virginia","Mechanicsville","VA",37.662559,-77.36778
"23229","YJBG8333","2015-001-501062","Male","Russian","Year","Chisinau","47.0105","28.8638","Moldova","Virginia","Richmond","VA",37.593546,-77.56271
"23452","HTVE6749","2015-001-501149","Female","Korean","Summer","Jeonju","35.8242","127.148","South Korea","Virginia","Virginia Beach","VA",36.839209,-76.09333
"23454","JXJR4436","2015-001-500933","Female","Korean","Summer","Seoul","37.5665","126.978","South Korea","Virginia","Virginia Beach","VA",36.838398,-76.02862
"23455","CVEK5354","2015-001-501997","Male","Turkish","Summer","Ankara","39.9334","32.8597","Turkey","Virginia","Virginia Beach","VA",36.889797,-76.1426
"23456","WDNN4714","2015-001-501626","Male","Arabic","Summer","Marrakesh","31.6295","7.9811","Morocco","Virginia","Virginia Beach","VA",36.762459,-76.06139
"23462","DXAJ3775","2015-001-500727","Female","Russian","Summer","Narva","59.3797","28.1791","Estonia","Virginia","Virginia Beach","VA",36.839648,-76.15177
"23692","GBVQ7554","2015-001-511309","Female","Chinese","Summer","Harbin","45.8038","126.535","China","Virginia","Yorktown","VA",37.178417,-76.46751
"23692","FXQZ1774","2015-001-503734","Male","Russian","Summer","Kirov","58.4199","50.2097","Russia","Virginia","Yorktown","VA",37.178417,-76.46751
"25404","CBKK1857","2015-001-501628","Male","Chinese","Summer","Xiamen","24.4798","118.0894","China","West Virginia","Martinsburg","WV",39.46,-77.96
"25419","FPSW2233","2015-001-503344","Female","Korean","Summer","Seoul","37.5665","126.978","South Korea","West Virginia","Falling Waters","WV",39.58132,-77.8804
"27260","MSDR9577","2015-001-502775","Male","Russian","Summer","Moscow","55.7558","37.6173","Russia","North Carolina","High Point","NC",35.950436,-79.99345
"27278","FAQA1474","2015-001-503900","Male","Russian","Summer","Chisinau","47.0105","28.8638","Moldova","North Carolina","Hillsborough","NC",36.079726,-79.09459
"27401","TSMD7712","2015-001-501202","Female","Korean","Summer","Seoul","37.5665","126.978","South Korea","North Carolina","Greensboro","NC",36.071135,-79.77468
"27405","VFWK5625","2015-001-502150","Female","Arabic","Summer","Marrakesh","31.6295","7.9811","Morocco","North Carolina","Greensboro","NC",36.107499,-79.75242
"27405","QPPE5378","2015-001-501132","Female","Korean","Summer","Songdo","37.3839","126.6439","South Korea","North Carolina","Greensboro","NC",36.107499,-79.75242
"27516","MYKQ2667","2015-001-503092","Female","Russian","Summer","Moscow","55.7558","37.6173","Russia","North Carolina","Chapel Hill","NC",35.912786,-79.10931
"27516","KXGV8539","2015-001-501495","Male","Chinese","Summer","Xiamen","24.4798","118.0894","China","North Carolina","Chapel Hill","NC",35.912786,-79.10931
"27517","FABS4683","2015-001-503025","Female","Hindi","Summer","Indore","22.7196","75.8577","India","North Carolina","Chapel Hill","NC",35.892359,-79.020849
"27519","CNPH8754","2015-001-502018","Male","Korean","Summer","Jeonju","35.8242","127.148","South Korea","North Carolina","Cary","NC",35.76812,-78.829548
"27603","HVFH3137","2015-001-500693","Female","Russian","Summer","Narva","59.3797","28.1791","Estonia","North Carolina","Raleigh","NC",35.716105,-78.65734
"28078","PKQX1512","2015-001-500529","Female","Hindi","Summer","Pune","18.5204","73.8567","India","North Carolina","Huntersville","NC",35.409544,-80.86362
"28104","FNTK8917","2015-001-503821","Male","Russian","Summer","Kirov","58.4199","50.2097","Russia","North Carolina","Matthews","NC",35.067285,-80.68424
"28139","CAJA6727","2015-001-501779","Male","Korean","Summer","Jeonju","35.8242","127.148","South Korea","North Carolina","Rutherfordton","NC",35.361333,-81.98377
"28174","HCYX2435","2015-001-502902","Female","Chinese","Summer","Jiaxing","30.7539","120.7585","China","North Carolina","Wingate","NC",34.981605,-80.44305
"28210","CKBW9396","2015-001-503804","Male","Turkish","Summer","Ankara","39.9334","32.8597","Turkey","North Carolina","Charlotte","NC",35.13451,-80.85632
