Reference.Code,Student.Number,Sex,Module.Language,Module.Duration,Module.City,module.lat,module.long,Module.Country,Home.Region,Home.Postal.Code
BKBG5282,2015-001-500996,Male,Chinese,Year,Beijing,39.9042,116.4074,China,California,95117
BKJZ7266,2015-001-501030,Female,Chinese,Summer,Suzhou,31.299,120.5853,China,Pennsylvania,19096
BMEC1478,2015-001-500595,Male,Russian,Year,Chisinau,47.0105,28.8638,Moldova,Virginia,22152
BMKR6369,2015-001-501076,Female,Chinese,Summer,Hangzhou,30.2741,120.1551,China,Minnesota,55346
BNXF9812,2015-001-509621,Female,Korean,Summer,Jeonju,35.8242,127.148,South Korea,Texas,78516
BQFU3964,2015-001-501240,Male,Korean,Summer,Seoul,37.5665,126.978,South Korea,Minnesota,55443
BQZT9898,2015-001-503030,Male,Chinese,Summer,Nanjing,32.0603,118.7969,China,Virginia,22207
BRJT2794,2015-001-501782,Male,Arabic,Summer,Rabat,33.9716,6.8498,Morocco,Maryland,21042
BSNY7187,2015-001-501783,Male,Chinese,Summer,Suzhou,31.299,120.5853,China,Massachusetts,1720
BTFJ8118,2015-001-503008,Male,Chinese,Summer,Zhuhai,22.271,113.5767,China,North Carolina,28618
BWPS5393,2015-001-511269,Female,Chinese,Summer,Harbin,45.8038,126.535,China,Maine,4428
BYNM2279,2015-001-502517,Female,Arabic,Summer,Marrakesh,31.6295,7.9811,Morocco,New York,11105
CAJA6727,2015-001-501779,Male,Korean,Summer,Jeonju,35.8242,127.148,South Korea,North Carolina,28139
CAQJ1792,2015-001-501453,Male,Russian,Summer,Chisinau,47.0105,28.8638,Moldova,Hawaii,96743
CAVW9575,2015-001-502655,Female,Korean,Summer,Jeonju,35.8242,127.148,South Korea,Massachusetts,1720
CBKK1857,2015-001-501628,Male,Chinese,Summer,Xiamen,24.4798,118.0894,China,West Virginia,25404
CBPM3971,2015-001-501815,Male,Korean,Summer,Seoul,37.5665,126.978,South Korea,Ohio,44844
CDGV2498,2015-001-502831,Female,Russian,Summer,Narva,59.3797,28.1791,Estonia,Texas,30813
CGJU1653,2015-001-503890,Female,Arabic,Summer,Rabat,33.9716,6.8498,Morocco,Montana,59802
CHCJ7481,2015-001-503650,Female,Arabic,Year,Rabat,33.9716,6.8498,Morocco,Virginia,20151
CJXY6421,2015-001-509624,Female,Turkish,Summer,Bursa,40.1885,29.061,Turkey,Texas,77530
CJZB2286,2015-001-502077,Female,Korean,Summer,Seoul,37.5665,126.978,South Korea,Texas,75002
CKBW9396,2015-001-503804,Male,Turkish,Summer,Ankara,39.9334,32.8597,Turkey,North Carolina,28210
CKTG8726,2015-001-502086,Female,Chinese,Summer,Xiamen,24.4798,118.0894,China,Alabama,36117
CMPU2359,2015-001-501708,Female,Arabic,Summer,Rabat,33.9716,6.8498,Morocco,Virginia,22030
CMVA1744,2015-001-501475,Female,Hindi,Summer,Pune,18.5204,73.8567,India,New Hampshire,3431
CNPH8754,2015-001-502018,Male,Korean,Summer,Jeonju,35.8242,127.148,South Korea,North Carolina,27519
CNWU2863,2015-001-502162,Male,Chinese,Summer,Xiamen,24.4798,118.0894,China,Hawaii,96821
CPED2151,2015-001-500557,Female,Russian,Summer,Chisinau,47.0105,28.8638,Moldova,New York,14141
CQCB6417,2015-001-501068,Female,Chinese,Summer,Jiaxing,30.7539,120.7585,China,Florida,33170
CQWH9731,2015-001-502288,Male,Arabic,Summer,Marrakesh,31.6295,7.9811,Morocco,Utah,84098
CTCN6178,2015-001-501441,Female,Korean,Summer,Seoul,37.5665,126.978,South Korea,Georgia,30135
